supply_name,supplier_name,quantity_supplied,hospital_name,weekly_wastage,severity,people_per_week,hashcode
Ciprofloxacin,Al Zahrawi Medical,7359.0,Emirates Hospital Dubai,13,1,580,6497677d33422875745abee0ee6819b2
Atorvastatin,Paramount Medical Equipment Trading LLC,6125.0,Saudi German Hospital Dubai,30,1,706,c2825d11ad34eba139de0e0e3fcc8048
Wheelchair,Al Maqam Medical Supplies LLC,695.0,Al Zahra Hospital Dubai,10,2,377,fcda9ed42783e458a08cbebac4220d08
Salbutamol,Al Maqam Medical Supplies LLC,8754.0,Emirates Hospital Dubai,30,3,705,fdaef5ec1239e6b95be7df278843b2af
Ciprofloxacin,Al Zahrawi Medical,7359.0,Emirates Hospital Dubai,13,1,580,6497677d33422875745abee0ee6819b2
Atorvastatin,Paramount Medical Equipment Trading LLC,6125.0,Saudi German Hospital Dubai,30,1,706,c2825d11ad34eba139de0e0e3fcc8048
Wheelchair,Al Maqam Medical Supplies LLC,695.0,Al Zahra Hospital Dubai,10,2,377,fcda9ed42783e458a08cbebac4220d08
Salbutamol,Al Maqam Medical Supplies LLC,8754.0,Emirates Hospital Dubai,30,3,705,fdaef5ec1239e6b95be7df278843b2af
Doxycycline,Al Naghi Medical,8093.0,NMC Royal Hospital Dubai,11,1,540,bc6a3dff25a32069f4da2221668eca7f
Scalpel,Metromed,74.0,Dubai Hospital,36,1,455,00a2adfd6337065fb5b8922382352117
Pulse Oximeter,Kiwi Medical Supplies,929.0,Al Zahra Hospital Dubai,48,1,435,7896bf6598224a3d441446759ccd6f9f
Lisinopril,Al Naghi Medical,9410.0,Al Zahra Hospital Dubai,26,3,921,b5f4e701011a18a0e06302c47037bd23
Defibrillator,Babirus LLC,3914.0,Emirates Hospital Dubai,32,2,952,b220d438abad0df3c7721f426d8b575b
Fluconazole,Al Maqam Medical Supplies LLC,8976.0,Mediclinic City Hospital Dubai,16,5,598,69833d8e173a2219f73ea5967ac277a1
Scalpel,AKI Pharma,4646.0,NMC Royal Hospital Dubai,41,3,480,5f50ff28b3633b39b330685516b9a79d
Paracetamol,Metromed,19220.0,Emirates Hospital Dubai,20,5,926,8cee253a2951047a0655599486fdf913
Oxygen Cylinder,AKI Pharma,4906.0,NMC Royal Hospital Dubai,13,1,729,934c83da12cf2595cebe2ebedea63a8b
Hand Sanitizer,AKI Pharma,3088.0,NMC Royal Hospital Dubai,23,1,260,7213d9490d67af08269173bc64311d9d
Amoxicillin,Paramount Medical Equipment Trading LLC,13506.0,Dubai Hospital,26,1,932,fa052cc9bbcb83a05720beab9b42f7d5
Sterile Gauze,AKI Pharma,1413.0,Al Zahra Hospital Dubai,21,3,413,214f4aa92277d3fa4ee3cd7c48a42a4f
Disposable Gloves,MPC Healthcare,5620.0,Saudi German Hospital Dubai,49,1,548,eac542ed3680015190a050c46fbe3767
IV Bag,City Pharmacy Co.,10153.0,Dubai Hospital,15,3,839,b6bbba9960951b202f53f818b411673d
Surgical Scissors,Kiwi Medical Supplies,3097.0,Dubai Hospital,46,4,553,3b7909a3730f482583ccdda85469bbfc
Stethoscope,Pharma Solutions,7378.0,NMC Royal Hospital Dubai,18,5,935,3180637d93dac311f153660e90ab2e16
Ciprofloxacin,AKI Pharma,8073.0,Thumbay Hospital Dubai,28,4,691,953856187dc14e800655e9fd90a3b756
Pantoprazole,MPC Healthcare,1474.0,Al Zahra Hospital Dubai,32,2,229,6cdec7a287ea5da073b1256486d1d421
Oxygen Cylinder,Babirus LLC,3798.0,Mediclinic City Hospital Dubai,10,5,252,ccc6cd258a7892a05ebb070ad1924808
Paracetamol,Al Naghi Medical,16602.0,Dubai Hospital,18,2,269,fb161f6e180ba255a042b71c44ac71c5
Levothyroxine,Planet Distribution,7747.0,Saudi German Hospital Dubai,18,2,773,ff7660a51381f5e237bf3fd693958a1e
Blood Pressure Monitor,Gulf Drug,632.0,Thumbay Hospital Dubai,16,3,239,7a8cb9a440a582116b3829dbc5508d4f
Stethoscope,HealthPro Distributors UAE,3699.0,Thumbay Hospital Dubai,10,2,840,33cb481b62563738aeee9cd52d57d220
Paracetamol,Planet Distribution,18112.0,Mediclinic City Hospital Dubai,34,4,605,f98b2096cbf6e40fdd715e2e2e8c7b5d
Oxygen Cylinder,HealthPro Distributors UAE,3331.0,Dubai Hospital,37,2,479,92a975cf96a8adac4dcc110928752aa7
Surgical Masks,Al Zahrawi Medical,3290.0,Saudi German Hospital Dubai,38,2,441,4b92aa66e494cdaebb42c9317283e596
Disposable Gloves,Metromed,5214.0,Al Zahra Hospital Dubai,23,3,212,85e955114258d96e782ee33ee89c5bc4
Azithromycin,Global Med UAE,8546.0,American Hospital Dubai,33,4,746,07b84d88e246206fe8e79689ff48d920
Lisinopril,Al Maqam Medical Supplies LLC,8944.0,Saudi German Hospital Dubai,14,3,234,dc256e72c71884ed97f0aecbefe9b1cf
Ciprofloxacin,Planet Distribution,7192.0,Mediclinic City Hospital Dubai,38,5,952,3238fe9bb4fea68ace75c25825919f41
Fluconazole,Al Naghi Medical,7405.0,Thumbay Hospital Dubai,23,3,649,56e9c95512e591b98c4fa71c64b4d53f
Thermometer,Al Naghi Medical,7786.0,Al Zahra Hospital Dubai,50,5,343,4ced39f4524f465bdf0ce6f2bb71c1e3
Omeprazole,AKI Pharma,13847.0,Saudi German Hospital Dubai,25,3,132,f28355a4a97f6911ce8f1bb463838c6e
Ventilator,Gulf Drug,4745.0,American Hospital Dubai,34,4,375,d33e0ceb27afb4df68b4e447282c76f9
Ibuprofen,Al Maqam Medical Supplies LLC,3715.0,American Hospital Dubai,15,1,278,840ceff1f50899642912306df681f602
Ventilator,Planet Distribution,2319.0,NMC Royal Hospital Dubai,32,2,355,989c65059db979ec13fb11628c2b22e0
Surgical Masks,Paramount Medical Equipment Trading LLC,7236.0,NMC Royal Hospital Dubai,47,3,492,02d9114e71f230ededfec6c2d106adba
