name,quantity,reason
Wheelchair,20,Increased patient mobility needs during outbreak
Pulse Oximeter,30,Monitoring oxygen saturation is critical.
Defibrillator,5,Potential for cardiac complications.
Stethoscope,30,Essential for patient assessment.
Surgical Masks,50000,Protection for healthcare workers and limiting spread.
Oxygen Cylinder,100,Addressing respiratory distress.
Hand Sanitizer,500,Infection control is paramount.
IV Bag,15000,Essential for fluid and medication administration.
Surgical Scissors,200,For minor procedures and wound care.
Thermometer,100,Fever screening and monitoring
Blood Pressure Monitor,50,For monitoring blood pressure of the patients.
