supply_name,supplier_name,date_supplied,quantity_supplied,hospital_name
Ciprofloxacin,Rogers LLC,2025-01-21,3356,Lake Stephenshire General Hospital
Atorvastatin,"Cunningham, Yu and Smith",2025-03-12,3125,Barnettstad General Hospital
Wheelchair,"Sanchez, Smith and Graham",2024-05-07,445,Meyerchester General Hospital
Salbutamol,"Sanchez, Smith and Graham",2023-09-24,2754,Michaelmouth General Hospital
Doxycycline,Gray PLC,2025-04-19,3593,Williamburgh General Hospital
Scalpel,Johns Group,2025-02-08,74,Meyerchester General Hospital
Pulse Oximeter,Rodriguez-Santana,2025-03-07,779,New Cynthia General Hospital
Lisinopril,Gray PLC,2025-03-30,2410,New Bryanstad General Hospital
Defibrillator,Smith Ltd,2024-07-23,3864,Lake Stephenshire General Hospital
Fluconazole,"Sanchez, Smith and Graham",2023-11-03,3976,Port Courtneytown General Hospital
Scalpel,Berry-Baker,2023-10-29,4646,Meyerchester General Hospital
Paracetamol,Johns Group,2023-06-29,4220,New Bryanstad General Hospital
Oxygen Cylinder,Berry-Baker,2023-06-08,4906,Elizabethland General Hospital
Hand Sanitizer,Berry-Baker,2024-02-16,3088,Richardsonside General Hospital
Amoxicillin,"Cunningham, Yu and Smith",2023-06-30,1506,Meyerchester General Hospital
Sterile Gauze,Berry-Baker,2024-07-26,1413,South Dominiqueburgh General Hospital
Disposable Gloves,Garcia-Williams,2024-03-16,620,West Josefort General Hospital
IV Bag,"Thomas, Tyler and Smith",2024-05-11,153,Lake Stephenshire General Hospital
Surgical Scissors,Rodriguez-Santana,2023-07-17,2997,Williamburgh General Hospital
Stethoscope,Peterson-Williams,2024-03-01,4378,Dustinport General Hospital
Ciprofloxacin,Berry-Baker,2024-06-30,4073,Port Selena General Hospital
Pantoprazole,Garcia-Williams,2023-12-12,1474,New Timothy General Hospital
Oxygen Cylinder,Smith Ltd,2024-03-29,3798,Allenshire General Hospital
Paracetamol,Gray PLC,2024-01-09,1602,South Dominiqueburgh General Hospital
Levothyroxine,"Solis, Clark and Lynch",2024-04-25,2247,New Bryanstad General Hospital
Blood Pressure Monitor,Adams Group,2024-12-30,532,Richardsonside General Hospital
Stethoscope,Mack LLC,2025-01-20,699,New Bryanstad General Hospital
Paracetamol,"Solis, Clark and Lynch",2023-10-20,3112,New Timothy General Hospital
Oxygen Cylinder,Mack LLC,2023-07-10,3331,Matthewfurt General Hospital
Surgical Masks,Rogers LLC,2023-12-24,290,New Mark General Hospital
