supply_name,supplier_name,quantity_supplied,hospital_name,weekly_wastage,severity,people_per_week
Ciprofloxacin,Al Zahrawi Medical,3359,Emirates Hospital Dubai,13,1,580
Atorvastatin,Paramount Medical Equipment Trading LLC,3125,Saudi German Hospital Dubai,30,1,706
Wheelchair,Al Maqam Medical Supplies LLC,445,Al Zahra Hospital Dubai,10,2,377
Salbutamol,Al Maqam Medical Supplies LLC,2754,Emirates Hospital Dubai,30,3,705
Doxycycline,Al Naghi Medical,3593,NMC Royal Hospital Dubai,11,1,540
Scalpel,Metromed,74,Dubai Hospital,36,1,455
Pulse Oximeter,Kiwi Medical Supplies,779,Al Zahra Hospital Dubai,48,1,435
Lisinopril,Al Naghi Medical,2410,Al Zahra Hospital Dubai,26,3,921
Defibrillator,Babirus LLC,3864,Emirates Hospital Dubai,32,2,952
Fluconazole,Al Maqam Medical Supplies LLC,3976,Mediclinic City Hospital Dubai,16,5,598
Scalpel,AKI Pharma,4646,NMC Royal Hospital Dubai,41,3,480
Paracetamol,Metromed,4220,Emirates Hospital Dubai,20,5,926
Oxygen Cylinder,AKI Pharma,4906,NMC Royal Hospital Dubai,13,1,729
Hand Sanitizer,AKI Pharma,3088,NMC Royal Hospital Dubai,23,1,260
Amoxicillin,Paramount Medical Equipment Trading LLC,1506,Dubai Hospital,26,1,932
Sterile Gauze,AKI Pharma,1413,Al Zahra Hospital Dubai,21,3,413
Disposable Gloves,MPC Healthcare,620,Saudi German Hospital Dubai,49,1,548
IV Bag,City Pharmacy Co.,153,Dubai Hospital,15,3,839
Surgical Scissors,Kiwi Medical Supplies,2997,Dubai Hospital,46,4,553
Stethoscope,Pharma Solutions,4378,NMC Royal Hospital Dubai,18,5,935
Ciprofloxacin,AKI Pharma,4073,Thumbay Hospital Dubai,28,4,691
Pantoprazole,MPC Healthcare,1474,Al Zahra Hospital Dubai,32,2,229
Oxygen Cylinder,Babirus LLC,3798,Mediclinic City Hospital Dubai,10,5,252
Paracetamol,Al Naghi Medical,1602,Dubai Hospital,18,2,269
Levothyroxine,Planet Distribution,2247,Saudi German Hospital Dubai,18,2,773
Blood Pressure Monitor,Gulf Drug,532,Thumbay Hospital Dubai,16,3,239
Stethoscope,HealthPro Distributors UAE,699,Thumbay Hospital Dubai,10,2,840
Paracetamol,Planet Distribution,3112,Mediclinic City Hospital Dubai,34,4,605
Oxygen Cylinder,HealthPro Distributors UAE,3331,Dubai Hospital,37,2,479
Surgical Masks,Al Zahrawi Medical,290,Saudi German Hospital Dubai,38,2,441
Disposable Gloves,Metromed,214,Al Zahra Hospital Dubai,23,3,212
Azithromycin,Global Med UAE,546,American Hospital Dubai,33,4,746
Lisinopril,Al Maqam Medical Supplies LLC,1944,Saudi German Hospital Dubai,14,3,234
Ciprofloxacin,Planet Distribution,3192,Mediclinic City Hospital Dubai,38,5,952
Fluconazole,Al Naghi Medical,2405,Thumbay Hospital Dubai,23,3,649
Thermometer,Al Naghi Medical,2786,Al Zahra Hospital Dubai,50,5,343
Omeprazole,AKI Pharma,4847,Saudi German Hospital Dubai,25,3,132
Ventilator,Gulf Drug,3745,American Hospital Dubai,34,4,375
Ibuprofen,Al Maqam Medical Supplies LLC,3715,American Hospital Dubai,15,1,278
Ventilator,Planet Distribution,1319,NMC Royal Hospital Dubai,32,2,355
Surgical Masks,Paramount Medical Equipment Trading LLC,4236,NMC Royal Hospital Dubai,47,3,492
Salbutamol,Al Maqam Medical Supplies LLC,878,Emirates Hospital Dubai,36,4,360
Thermometer,Pharma Solutions,2805,Mediclinic City Hospital Dubai,25,4,712
Metronidazole,Global Med UAE,2012,Dubai Hospital,24,5,853
Surgical Masks,Al Zahrawi Medical,372,Saudi German Hospital Dubai,39,4,161
Aspirin,Pharma Solutions,1654,Saudi German Hospital Dubai,14,5,739
Hydrochlorothiazide,Al Zahrawi Medical,1911,Dubai Hospital,28,3,282
Scalpel,Al Maqam Medical Supplies LLC,2814,Emirates Hospital Dubai,22,3,262
Oxygen Cylinder,Al Naghi Medical,1129,Thumbay Hospital Dubai,20,5,705
Sterile Gauze,HealthPro Distributors UAE,251,Thumbay Hospital Dubai,32,5,891
Defibrillator,Paramount Medical Equipment Trading LLC,2809,Emirates Hospital Dubai,43,2,592
Pantoprazole,Paramount Medical Equipment Trading LLC,1053,Thumbay Hospital Dubai,23,3,747
Paracetamol,Global Med UAE,4070,NMC Royal Hospital Dubai,21,3,473
Surgical Scissors,Kiwi Medical Supplies,449,Saudi German Hospital Dubai,19,3,793
Syringe Set,Al Maqam Medical Supplies LLC,3466,Emirates Hospital Dubai,33,1,409
Stethoscope,Pharma Solutions,2830,Saudi German Hospital Dubai,41,1,469
Simvastatin,Metromed,3417,Dubai Hospital,36,2,476
Bandage Roll,Al Zahrawi Medical,4599,American Hospital Dubai,20,2,725
Thermometer,Kiwi Medical Supplies,1022,NMC Royal Hospital Dubai,29,4,371
Bandage Roll,Paramount Medical Equipment Trading LLC,2659,Al Zahra Hospital Dubai,35,3,286
IV Bag,Gulf Drug,3201,NMC Royal Hospital Dubai,16,5,663
Atorvastatin,Babirus LLC,2679,Emirates Hospital Dubai,31,4,827
Pulse Oximeter,Al Zahrawi Medical,4630,Al Zahra Hospital Dubai,15,2,905
Stethoscope,Pharma Solutions,3751,American Hospital Dubai,17,3,875
Defibrillator,Global Med UAE,2782,Emirates Hospital Dubai,44,3,145
Simvastatin,Kiwi Medical Supplies,3527,Mediclinic City Hospital Dubai,41,3,141
Sterile Gauze,HealthPro Distributors UAE,3930,Saudi German Hospital Dubai,26,3,654
Amoxicillin,Babirus LLC,1179,American Hospital Dubai,42,2,699
Thermometer,Global Med UAE,4916,Saudi German Hospital Dubai,48,3,478
Syringe Set,MPC Healthcare,2385,Thumbay Hospital Dubai,24,1,356
Paracetamol,Al Maqam Medical Supplies LLC,1884,Mediclinic City Hospital Dubai,37,5,897
Metformin,Paramount Medical Equipment Trading LLC,2355,Mediclinic City Hospital Dubai,13,3,798
Blood Pressure Monitor,Al Maqam Medical Supplies LLC,375,American Hospital Dubai,31,2,376
Paracetamol,Babirus LLC,1369,Mediclinic City Hospital Dubai,29,4,890
Amoxicillin,Al Zahrawi Medical,1379,Al Zahra Hospital Dubai,14,3,483
Hydrochlorothiazide,Al Zahrawi Medical,3848,Mediclinic City Hospital Dubai,11,4,642
Prednisolone,MPC Healthcare,865,Saudi German Hospital Dubai,40,5,667
Drip Stand,MPC Healthcare,2308,Saudi German Hospital Dubai,24,3,736
Hand Sanitizer,Global Med UAE,3234,Emirates Hospital Dubai,27,3,132
Pulse Oximeter,Kiwi Medical Supplies,4689,Saudi German Hospital Dubai,25,3,402
Ventilator,MPC Healthcare,1280,Emirates Hospital Dubai,37,3,301
Salbutamol,Pharma Solutions,1996,Saudi German Hospital Dubai,41,3,193
Doxycycline,Global Med UAE,621,Al Zahra Hospital Dubai,13,4,451
Ibuprofen,Gulf Drug,2657,Dubai Hospital,10,2,684
Ibuprofen,Gulf Drug,3588,Emirates Hospital Dubai,45,5,906
Prednisolone,Global Med UAE,2511,NMC Royal Hospital Dubai,37,2,810
Prednisolone,AKI Pharma,2680,Thumbay Hospital Dubai,45,3,106
Bandage Roll,Gulf Drug,1272,American Hospital Dubai,28,4,326
Pantoprazole,Metromed,4202,Saudi German Hospital Dubai,44,3,130
Ventilator,Metromed,1567,Mediclinic City Hospital Dubai,37,2,438
Metformin,Global Med UAE,368,Dubai Hospital,45,4,458
Salbutamol,Babirus LLC,1052,Saudi German Hospital Dubai,40,3,379
Syringe Set,Global Med UAE,4540,Mediclinic City Hospital Dubai,43,5,530
Ibuprofen,Babirus LLC,2911,Thumbay Hospital Dubai,31,3,912
Thermometer,Pharma Solutions,406,Thumbay Hospital Dubai,46,3,927
Bandage Roll,Paramount Medical Equipment Trading LLC,4876,Thumbay Hospital Dubai,48,5,639
Surgical Masks,HealthPro Distributors UAE,1707,Mediclinic City Hospital Dubai,30,3,514
Simvastatin,Metromed,3912,Saudi German Hospital Dubai,22,3,532
Paracetamol,Al Naghi Medical,2731,Thumbay Hospital Dubai,32,3,525
Atorvastatin,Al Naghi Medical,3768,Al Zahra Hospital Dubai,18,1,559
Hydrochlorothiazide,AKI Pharma,508,Emirates Hospital Dubai,45,3,126
Lisinopril,Kiwi Medical Supplies,759,Mediclinic City Hospital Dubai,17,5,906
Amoxicillin,Al Maqam Medical Supplies LLC,1710,Mediclinic City Hospital Dubai,24,1,258
Doxycycline,Planet Distribution,2817,Saudi German Hospital Dubai,21,4,427
Lisinopril,Kiwi Medical Supplies,98,Mediclinic City Hospital Dubai,41,2,950
Surgical Masks,AKI Pharma,2850,Mediclinic City Hospital Dubai,11,5,583
Ciprofloxacin,Gulf Drug,549,Thumbay Hospital Dubai,26,2,125
Doxycycline,Al Zahrawi Medical,1044,Saudi German Hospital Dubai,18,3,524
Paracetamol,Planet Distribution,4469,Thumbay Hospital Dubai,31,4,333
Blood Pressure Monitor,MPC Healthcare,3056,Emirates Hospital Dubai,43,2,638
Salbutamol,Paramount Medical Equipment Trading LLC,292,Dubai Hospital,25,4,485
Prednisolone,Al Maqam Medical Supplies LLC,46,Emirates Hospital Dubai,15,2,553
Bandage Roll,Planet Distribution,2429,Dubai Hospital,20,3,166
IV Bag,HealthPro Distributors UAE,2687,Thumbay Hospital Dubai,45,4,725
Atorvastatin,HealthPro Distributors UAE,4394,Emirates Hospital Dubai,13,3,566
ECG Machine,AKI Pharma,598,Saudi German Hospital Dubai,50,4,372
Losartan,HealthPro Distributors UAE,3521,American Hospital Dubai,39,3,648
Prednisolone,AKI Pharma,4481,Thumbay Hospital Dubai,48,5,578
IV Bag,Gulf Drug,274,Dubai Hospital,49,2,383
Azithromycin,Planet Distribution,3014,Al Zahra Hospital Dubai,22,2,859
Atorvastatin,Al Naghi Medical,850,Dubai Hospital,14,3,481
Omeprazole,Global Med UAE,2978,Al Zahra Hospital Dubai,20,1,894
Levothyroxine,Al Maqam Medical Supplies LLC,2084,Mediclinic City Hospital Dubai,46,4,320
Aspirin,City Pharmacy Co.,4275,Emirates Hospital Dubai,35,4,226
Omeprazole,AKI Pharma,1010,Al Zahra Hospital Dubai,33,1,524
Prednisolone,Planet Distribution,2546,Dubai Hospital,10,3,455
