id,keyword,location,text,target
1,medication,Brazil,"Staying consistent with my workouts, it pays off.",0
2,allergy,Canada,This weather is perfect for a long run.,0
3,workout,USA,"I'm all about that gym life, workouts every day.",0
4,fitness,South Africa,I can't believe I have fitness.,1
5,headache,Brazil,My headache symptoms are just unbearable.,1
6,asthma,Canada,"Staying consistent with my workouts, it pays off.",0
7,allergy,Canada,"Just had an amazing run, feeling so fit.",0
8,diabetes,South Africa,Just got diagnosed with diabetes. Anyone have any advice?,1
9,asthma,South Africa,"Staying consistent with my workouts, it pays off.",0
10,diabetes,UK,Does anyone know good treatments for diabetes?,1
11,asthma,Japan,Getting into the best shape of my life.,0
12,asthma,Brazil,Loving this healthy lifestyle I've been following.,0
13,headache,Brazil,Finally got medication for my headache.,1
14,diabetes,Germany,Having a rough time dealing with diabetes.,1
15,flu,Australia,Anyone else suffering from flu lately?,1
16,cancer,Canada,"I've just been diagnosed with cancer, looking for support.",1
17,flu,Canada,My grandma just passed away from flu. RIP,1
18,asthma,India,Just finished a great workout at the gym Feeling energized,0
19,allergy,UK,I absolutely love my fitness journey so far.,0
20,asthma,India,"Fitness is a lifestyle, and I'm fully embracing it.",0
21,asthma,Australia,"Loving the new place I moved into, feels great!",0
22,asthma,Japan,Fitness goals achieved for the day!,0
23,flu,Canada,Finally got medication for my flu.,1
24,workout,Japan,I absolutely love my fitness journey so far.,0
25,flu,Canada,My flu symptoms are just unbearable.,1
26,fitness,Japan,Just got diagnosed with fitness. Anyone have any advice?,1
27,workout,Canada,Fitness goals achieved for the day!,0
28,allergy,USA,I absolutely love my fitness journey so far.,0
29,cancer,USA,"This cancer is getting worse each day, any suggestions?",1
30,cancer,South Africa,Does anyone know good treatments for cancer?,1
31,headache,USA,"I've just been diagnosed with headache, looking for support.",1
32,asthma,Brazil,Getting into the best shape of my life.,0
33,asthma,India,"Loving the new place I moved into, feels great!",0
34,flu,Germany,Finally got medication for my flu.,1
35,medication,South Africa,"Just had an amazing run, feeling so fit.",0
36,medication,Australia,This weather is perfect for a long run.,0
37,headache,UK,I can't believe I have headache.,1
38,workout,Australia,This weather is perfect for a long run.,0
39,flu,Germany,"I've just been diagnosed with flu, looking for support.",1
40,asthma,India,Loving this healthy lifestyle I've been following.,0
41,allergy,South Africa,Just finished a great workout at the gym Feeling energized,0
42,cold,USA,"Had a nice cup of coffee, time to start the day!",0
43,cold,Germany,"Had a nice cup of coffee, time to start the day!",0
44,medication,India,Feeling great after a relaxing yoga session.,0
45,workout,UK,"Staying consistent with my workouts, it pays off.",0
46,allergy,India,Fitness goals achieved for the day!,0
47,fitness,Germany,Anyone else suffering from fitness lately?,1
48,workout,UK,Feeling great after a relaxing yoga session.,0
49,medication,USA,"Fitness is a lifestyle, and I'm fully embracing it.",0
50,allergy,Brazil,Feeling great after a relaxing yoga session.,0
51,diabetes,Japan,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
52,asthma,Japan,Enjoying a relaxing day without any worries!,0
53,fitness,Australia,Anyone else suffering from fitness lately?,1
54,headache,India,My headache symptoms are just unbearable.,1
55,headache,Australia,Diagnosed with headache and really don't know what to do.,1
56,allergy,Australia,"Had a nice cup of coffee, time to start the day!",0
57,flu,USA,"This flu is getting worse each day, any suggestions?",1
58,diabetes,France,My diabetes symptoms are just unbearable.,1
59,headache,Germany,"Ugh, I've had a headache all day. Anyone know any good remedies?",1
60,allergy,South Africa,Fitness goals achieved for the day!,0
61,cancer,Canada,Does anyone know good treatments for cancer?,1
62,workout,USA,Loving this healthy lifestyle I've been following.,0
63,workout,Canada,"Staying consistent with my workouts, it pays off.",0
64,fitness,Canada,Anyone else suffering from fitness lately?,1
65,allergy,India,"Loving the new place I moved into, feels great!",0
66,headache,France,Just got diagnosed with headache. Anyone have any advice?,1
67,medication,Germany,Loving this healthy lifestyle I've been following.,0
68,headache,Brazil,"This headache is getting worse each day, any suggestions?",1
69,headache,Germany,I can't believe I have headache.,1
70,allergy,Australia,This weather is perfect for a long run.,0
71,diabetes,Australia,I've been feeling really sick with diabetes all week. Anyone have any tips?,1
72,fitness,UK,"I've just been diagnosed with fitness, looking for support.",1
73,allergy,France,Getting into the best shape of my life.,0
74,allergy,South Africa,"I'm all about that gym life, workouts every day.",0
75,headache,Germany,Does anyone know good treatments for headache?,1
76,workout,France,I absolutely love my fitness journey so far.,0
77,diabetes,UK,Diagnosed with diabetes and really don't know what to do.,1
78,diabetes,South Africa,Does anyone know good treatments for diabetes?,1
79,diabetes,India,Having a rough time dealing with diabetes.,1
80,cold,Canada,"Loving the new place I moved into, feels great!",0
81,headache,UK,Does anyone know good treatments for headache?,1
82,flu,Brazil,Does anyone know good treatments for flu?,1
83,diabetes,South Africa,Having a rough time dealing with diabetes.,1
84,cancer,Germany,Diagnosed with cancer and really don't know what to do.,1
85,diabetes,Brazil,My grandma just passed away from diabetes. RIP,1
86,workout,India,"Staying consistent with my workouts, it pays off.",0
87,diabetes,USA,"This diabetes is getting worse each day, any suggestions?",1
88,flu,India,"Ugh, I've had a flu all day. Anyone know any good remedies?",1
89,asthma,USA,Enjoying a relaxing day without any worries!,0
90,allergy,India,Enjoying a relaxing day without any worries!,0
91,asthma,Japan,Just finished a great workout at the gym Feeling energized,0
92,asthma,France,This weather is perfect for a long run.,0
93,headache,Canada,I've been feeling really sick with headache all week. Anyone have any tips?,1
94,cold,USA,This weather is perfect for a long run.,0
95,diabetes,Australia,"This diabetes is getting worse each day, any suggestions?",1
96,workout,UK,"I'm all about that gym life, workouts every day.",0
97,medication,Japan,Loving this healthy lifestyle I've been following.,0
98,diabetes,UK,Having a rough time dealing with diabetes.,1
99,allergy,USA,Enjoying a relaxing day without any worries!,0
100,medication,France,"Staying consistent with my workouts, it pays off.",0
101,cancer,South Africa,Just got diagnosed with cancer. Anyone have any advice?,1
102,flu,South Africa,"Doctor prescribed me new flu medication, hoping it helps.",1
103,cold,India,"Staying consistent with my workouts, it pays off.",0
104,fitness,Australia,"Doctor prescribed me new fitness medication, hoping it helps.",1
105,fitness,Brazil,My fitness symptoms are just unbearable.,1
106,asthma,South Africa,Getting into the best shape of my life.,0
107,allergy,UK,I absolutely love my fitness journey so far.,0
108,medication,Australia,"Fitness is a lifestyle, and I'm fully embracing it.",0
109,cancer,India,"I've just been diagnosed with cancer, looking for support.",1
110,fitness,Japan,Does anyone know good treatments for fitness?,1
111,diabetes,South Africa,Anyone else suffering from diabetes lately?,1
112,cancer,Brazil,I've been feeling really sick with cancer all week. Anyone have any tips?,1
113,headache,UK,I can't believe I have headache.,1
114,medication,USA,Getting into the best shape of my life.,0
115,headache,India,Diagnosed with headache and really don't know what to do.,1
116,fitness,Canada,"This fitness is getting worse each day, any suggestions?",1
117,flu,Brazil,I can't believe I have flu.,1
118,flu,Canada,Finally got medication for my flu.,1
119,asthma,Germany,"Had a nice cup of coffee, time to start the day!",0
120,flu,Brazil,"Doctor prescribed me new flu medication, hoping it helps.",1
121,asthma,Germany,"Had a nice cup of coffee, time to start the day!",0
122,fitness,Australia,"Ugh, I've had a fitness all day. Anyone know any good remedies?",1
123,fitness,USA,Diagnosed with fitness and really don't know what to do.,1
124,allergy,South Africa,Getting into the best shape of my life.,0
