supply_name,supplier_name,quantity_supplied,hospital_name,weekly_wastage,severity,people_per_week
Ciprofloxacin,Al Zahrawi Medical,7359.0,Emirates Hospital Dubai,13,1,580
Atorvastatin,Paramount Medical Equipment Trading LLC,6125.0,Saudi German Hospital Dubai,30,1,706
Wheelchair,Al Maqam Medical Supplies LLC,695.0,Al Zahra Hospital Dubai,10,2,377
Salbutamol,Al Maqam Medical Supplies LLC,8754.0,Emirates Hospital Dubai,30,3,705
Doxycycline,Al Naghi Medical,8093.0,NMC Royal Hospital Dubai,11,1,540
Scalpel,Metromed,74.0,Dubai Hospital,36,1,455
Pulse Oximeter,Kiwi Medical Supplies,929.0,Al Zahra Hospital Dubai,48,1,435
Lisinopril,Al Naghi Medical,9410.0,Al Zahra Hospital Dubai,26,3,921
Defibrillator,Babirus LLC,3914.0,Emirates Hospital Dubai,32,2,952
Fluconazole,Al Maqam Medical Supplies LLC,8976.0,Mediclinic City Hospital Dubai,16,5,598
Scalpel,AKI Pharma,4646.0,NMC Royal Hospital Dubai,41,3,480
Paracetamol,Metromed,19220.0,Emirates Hospital Dubai,20,5,926
Oxygen Cylinder,AKI Pharma,4906.0,NMC Royal Hospital Dubai,13,1,729
Hand Sanitizer,AKI Pharma,3088.0,NMC Royal Hospital Dubai,23,1,260
Amoxicillin,Paramount Medical Equipment Trading LLC,13506.0,Dubai Hospital,26,1,932
Sterile Gauze,AKI Pharma,1413.0,Al Zahra Hospital Dubai,21,3,413
Disposable Gloves,MPC Healthcare,5620.0,Saudi German Hospital Dubai,49,1,548
IV Bag,City Pharmacy Co.,10153.0,Dubai Hospital,15,3,839
Surgical Scissors,Kiwi Medical Supplies,3097.0,Dubai Hospital,46,4,553
Stethoscope,Pharma Solutions,7378.0,NMC Royal Hospital Dubai,18,5,935
Ciprofloxacin,AKI Pharma,8073.0,Thumbay Hospital Dubai,28,4,691
Pantoprazole,MPC Healthcare,1474.0,Al Zahra Hospital Dubai,32,2,229
Oxygen Cylinder,Babirus LLC,3798.0,Mediclinic City Hospital Dubai,10,5,252
Paracetamol,Al Naghi Medical,16602.0,Dubai Hospital,18,2,269
Levothyroxine,Planet Distribution,7747.0,Saudi German Hospital Dubai,18,2,773
Blood Pressure Monitor,Gulf Drug,632.0,Thumbay Hospital Dubai,16,3,239
Stethoscope,HealthPro Distributors UAE,3699.0,Thumbay Hospital Dubai,10,2,840
Paracetamol,Planet Distribution,18112.0,Mediclinic City Hospital Dubai,34,4,605
Oxygen Cylinder,HealthPro Distributors UAE,3331.0,Dubai Hospital,37,2,479
Surgical Masks,Al Zahrawi Medical,3290.0,Saudi German Hospital Dubai,38,2,441
Disposable Gloves,Metromed,5214.0,Al Zahra Hospital Dubai,23,3,212
Azithromycin,Global Med UAE,8546.0,American Hospital Dubai,33,4,746
Lisinopril,Al Maqam Medical Supplies LLC,8944.0,Saudi German Hospital Dubai,14,3,234
Ciprofloxacin,Planet Distribution,7192.0,Mediclinic City Hospital Dubai,38,5,952
Fluconazole,Al Naghi Medical,7405.0,Thumbay Hospital Dubai,23,3,649
Thermometer,Al Naghi Medical,7786.0,Al Zahra Hospital Dubai,50,5,343
Omeprazole,AKI Pharma,13847.0,Saudi German Hospital Dubai,25,3,132
Ventilator,Gulf Drug,4745.0,American Hospital Dubai,34,4,375
Ibuprofen,Al Maqam Medical Supplies LLC,3715.0,American Hospital Dubai,15,1,278
Ventilator,Planet Distribution,2319.0,NMC Royal Hospital Dubai,32,2,355
Surgical Masks,Paramount Medical Equipment Trading LLC,7236.0,NMC Royal Hospital Dubai,47,3,492
Salbutamol,Al Maqam Medical Supplies LLC,6878.0,Emirates Hospital Dubai,36,4,360
Thermometer,Pharma Solutions,7805.0,Mediclinic City Hospital Dubai,25,4,712
Metronidazole,Global Med UAE,2012.0,Dubai Hospital,24,5,853
Surgical Masks,Al Zahrawi Medical,3372.0,Saudi German Hospital Dubai,39,4,161
Aspirin,Pharma Solutions,9654.0,Saudi German Hospital Dubai,14,5,739
Hydrochlorothiazide,Al Zahrawi Medical,9411.0,Dubai Hospital,28,3,282
Scalpel,Al Maqam Medical Supplies LLC,2814.0,Emirates Hospital Dubai,22,3,262
Oxygen Cylinder,Al Naghi Medical,1129.0,Thumbay Hospital Dubai,20,5,705
Sterile Gauze,HealthPro Distributors UAE,251.0,Thumbay Hospital Dubai,32,5,891
Defibrillator,Paramount Medical Equipment Trading LLC,2859.0,Emirates Hospital Dubai,43,2,592
Pantoprazole,Paramount Medical Equipment Trading LLC,1053.0,Thumbay Hospital Dubai,23,3,747
Paracetamol,Global Med UAE,19070.0,NMC Royal Hospital Dubai,21,3,473
Surgical Scissors,Kiwi Medical Supplies,549.0,Saudi German Hospital Dubai,19,3,793
Syringe Set,Al Maqam Medical Supplies LLC,23466.0,Emirates Hospital Dubai,33,1,409
Stethoscope,Pharma Solutions,5830.0,Saudi German Hospital Dubai,41,1,469
Simvastatin,Metromed,9917.0,Dubai Hospital,36,2,476
Bandage Roll,Al Zahrawi Medical,4799.0,American Hospital Dubai,20,2,725
Thermometer,Kiwi Medical Supplies,6022.0,NMC Royal Hospital Dubai,29,4,371
Bandage Roll,Paramount Medical Equipment Trading LLC,2859.0,Al Zahra Hospital Dubai,35,3,286
IV Bag,Gulf Drug,13201.0,NMC Royal Hospital Dubai,16,5,663
Atorvastatin,Babirus LLC,5679.0,Emirates Hospital Dubai,31,4,827
Pulse Oximeter,Al Zahrawi Medical,4780.0,Al Zahra Hospital Dubai,15,2,905
Stethoscope,Pharma Solutions,6751.0,American Hospital Dubai,17,3,875
Defibrillator,Global Med UAE,2832.0,Emirates Hospital Dubai,44,3,145
Simvastatin,Kiwi Medical Supplies,10027.0,Mediclinic City Hospital Dubai,41,3,141
Sterile Gauze,HealthPro Distributors UAE,3930.0,Saudi German Hospital Dubai,26,3,654
Amoxicillin,Babirus LLC,13179.0,American Hospital Dubai,42,2,699
Thermometer,Global Med UAE,9916.0,Saudi German Hospital Dubai,48,3,478
Syringe Set,MPC Healthcare,22385.0,Thumbay Hospital Dubai,24,1,356
Paracetamol,Al Maqam Medical Supplies LLC,16884.0,Mediclinic City Hospital Dubai,37,5,897
Metformin,Paramount Medical Equipment Trading LLC,12355.0,Mediclinic City Hospital Dubai,13,3,798
Blood Pressure Monitor,Al Maqam Medical Supplies LLC,475.0,American Hospital Dubai,31,2,376
Paracetamol,Babirus LLC,16369.0,Mediclinic City Hospital Dubai,29,4,890
Amoxicillin,Al Zahrawi Medical,13379.0,Al Zahra Hospital Dubai,14,3,483
Hydrochlorothiazide,Al Zahrawi Medical,11348.0,Mediclinic City Hospital Dubai,11,4,642
Prednisolone,MPC Healthcare,4365.0,Saudi German Hospital Dubai,40,5,667
Drip Stand,MPC Healthcare,3808.0,Saudi German Hospital Dubai,24,3,736
Hand Sanitizer,Global Med UAE,3234.0,Emirates Hospital Dubai,27,3,132
Pulse Oximeter,Kiwi Medical Supplies,4839.0,Saudi German Hospital Dubai,25,3,402
Ventilator,MPC Healthcare,2280.0,Emirates Hospital Dubai,37,3,301
Salbutamol,Pharma Solutions,7996.0,Saudi German Hospital Dubai,41,3,193
Doxycycline,Global Med UAE,5121.0,Al Zahra Hospital Dubai,13,4,451
Ibuprofen,Gulf Drug,2657.0,Dubai Hospital,10,2,684
Ibuprofen,Gulf Drug,3588.0,Emirates Hospital Dubai,45,5,906
Prednisolone,Global Med UAE,6011.0,NMC Royal Hospital Dubai,37,2,810
Prednisolone,AKI Pharma,6180.0,Thumbay Hospital Dubai,45,3,106
Bandage Roll,Gulf Drug,1472.0,American Hospital Dubai,28,4,326
Pantoprazole,Metromed,4202.0,Saudi German Hospital Dubai,44,3,130
Ventilator,Metromed,2567.0,Mediclinic City Hospital Dubai,37,2,438
Metformin,Global Med UAE,10368.0,Dubai Hospital,45,4,458
Salbutamol,Babirus LLC,7052.0,Saudi German Hospital Dubai,40,3,379
Syringe Set,Global Med UAE,24540.0,Mediclinic City Hospital Dubai,43,5,530
Ibuprofen,Babirus LLC,2911.0,Thumbay Hospital Dubai,31,3,912
